                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 0.7018,                0.38539,                 1.4015,                0.90788,                0.93649,                0.93571,                0.98514,                0.82946,                0.93649,                0.93571,                0.98514,                0.93068,                0.57824,                0.37133,                 1.2453,                0.87005,               0.009241,               0.009241,               0.009241
                     25,                0.72573,                0.44265,                 1.4175,                0.92452,                0.93649,                0.93571,                0.98514,                0.82946,                0.93649,                0.93571,                0.98514,                0.93068,                0.57824,                0.37133,                 1.2453,                0.87005,               0.009208,               0.009208,               0.009208
                     26,                0.67409,                  0.437,                 1.3391,                0.87983,                0.85982,                0.89081,                0.93986,                0.82689,                0.85982,                0.89081,                0.93986,                0.87955,                0.49861,                0.36274,                 1.1547,                0.84457,               0.009175,               0.009175,               0.009175
                     27,                0.68757,                0.51508,                 1.3571,                 0.9054,                0.85982,                0.89081,                0.93986,                0.82689,                0.85982,                0.89081,                0.93986,                0.87955,                0.49861,                0.36274,                 1.1547,                0.84457,               0.009142,               0.009142,               0.009142
                     28,                0.69699,                0.41049,                 1.2307,                  0.895,                 0.9808,                0.96304,                0.99361,                0.85399,                 0.9808,                0.96304,                0.99361,                0.92706,                0.60496,                0.35662,                  1.235,                0.86485,               0.009109,               0.009109,               0.009109
                     29,                 0.7153,                0.48928,                 1.3386,                0.92068,                 0.9808,                0.96304,                0.99361,                0.85399,                 0.9808,                0.96304,                0.99361,                0.92706,                0.60496,                0.35662,                  1.235,                0.86485,               0.009076,               0.009076,               0.009076
                     30,                 0.7354,                0.51429,                   1.35,                0.90744,                 0.9742,                0.99324,                  0.995,                0.90702,                 0.9742,                0.99324,                  0.995,                0.96045,                0.45356,                0.36481,                 1.0183,                0.83327,               0.009043,               0.009043,               0.009043
                     31,                0.63313,                0.39295,                 1.1706,                0.90272,                 0.9742,                0.99324,                  0.995,                0.90702,                 0.9742,                0.99324,                  0.995,                0.96045,                0.45356,                0.36481,                 1.0183,                0.83327,                0.00901,                0.00901,                0.00901
                     32,                0.66957,                0.45261,                 1.2096,                0.89612,                0.99691,                   0.75,                0.93656,                0.80979,                0.99691,                   0.75,                0.93656,                0.89411,                0.58342,                0.37113,                 1.4201,                 0.8509,               0.008977,               0.008977,               0.008977
                     33,                0.75665,                0.53665,                 1.4256,                0.92881,                0.99691,                   0.75,                0.93656,                0.80979,                0.99691,                   0.75,                0.93656,                0.89411,                0.58342,                0.37113,                 1.4201,                 0.8509,               0.008944,               0.008944,               0.008944
                     34,                0.66349,                0.40827,                 1.3144,                0.88077,                0.99641,                0.99997,                  0.995,                0.88103,                0.99641,                0.99997,                  0.995,                0.93712,                0.47368,                0.36568,                 1.0101,                0.84655,               0.008911,               0.008911,               0.008911
                     35,                0.63382,                0.42617,                 1.1477,                0.88259,                0.99641,                0.99997,                  0.995,                0.88103,                0.99641,                0.99997,                  0.995,                0.93712,                0.47368,                0.36568,                 1.0101,                0.84655,               0.008878,               0.008878,               0.008878
                     36,                0.64709,                0.46178,                 1.1535,                0.89325,                0.97432,                0.99394,                  0.995,                0.86796,                0.97432,                0.99394,                  0.995,                0.94579,                0.55502,                0.34557,                0.89442,                0.85577,               0.008845,               0.008845,               0.008845
                     37,                0.67983,                0.42713,                 1.0573,                0.91487,                0.97432,                0.99394,                  0.995,                0.86796,                0.97432,                0.99394,                  0.995,                0.94579,                0.55502,                0.34557,                0.89442,                0.85577,               0.008812,               0.008812,               0.008812
                     38,                0.72247,                 0.4737,                 1.0889,                0.90594,                0.98494,                      1,                  0.995,                0.86017,                0.98494,                      1,                  0.995,                0.94421,                0.51431,                0.34275,                0.90786,                0.85878,               0.008779,               0.008779,               0.008779
                     39,                 0.5983,                0.40158,                 1.0193,                0.90856,                0.98494,                      1,                  0.995,                0.86017,                0.98494,                      1,                  0.995,                0.94421,                0.51431,                0.34275,                0.90786,                0.85878,               0.008746,               0.008746,               0.008746
                     40,                0.64215,                 0.4584,                 1.0229,                 0.8917,                0.98336,                      1,                  0.995,                0.84978,                0.98336,                      1,                  0.995,                0.92451,                 0.5431,                0.34363,                0.87758,                0.85358,               0.008713,               0.008713,               0.008713
                     41,                 0.6664,                0.43354,                0.94786,                0.90131,                0.98336,                      1,                  0.995,                0.84978,                0.98336,                      1,                  0.995,                0.92451,                 0.5431,                0.34363,                0.87758,                0.85358,                0.00868,                0.00868,                0.00868
                     42,                0.64222,                0.39828,                 1.0193,                0.90053,                0.98336,                      1,                  0.995,                0.84978,                0.98336,                      1,                  0.995,                0.92451,                 0.5431,                0.34363,                0.87758,                0.85358,               0.008647,               0.008647,               0.008647
                     43,                0.61187,                0.43302,                 1.0636,                0.90274,                0.95921,                0.99036,                  0.995,                0.86163,                0.95921,                0.99036,                  0.995,                0.95127,                0.53839,                0.34442,                 1.0917,                0.85614,               0.008614,               0.008614,               0.008614
                     44,                0.57175,                0.40784,                 1.0484,                 0.8871,                0.95921,                0.99036,                  0.995,                0.86163,                0.95921,                0.99036,                  0.995,                0.95127,                0.53839,                0.34442,                 1.0917,                0.85614,               0.008581,               0.008581,               0.008581
                     45,                0.61335,                 0.3797,                 1.0328,                0.90302,                0.99252,                 0.9997,                  0.995,                0.86508,                0.99252,                 0.9997,                  0.995,                 0.9572,                0.53933,                0.34229,                0.94359,                 0.8759,               0.008548,               0.008548,               0.008548
                     46,                 0.6334,                 0.4287,                 1.0146,                0.92321,                0.99252,                 0.9997,                  0.995,                0.86508,                0.99252,                 0.9997,                  0.995,                 0.9572,                0.53933,                0.34229,                0.94359,                 0.8759,               0.008515,               0.008515,               0.008515
                     47,                0.61905,                0.41031,                0.97311,                0.91367,                0.99073,                0.99812,                  0.995,                0.88113,                0.99073,                0.99812,                  0.995,                0.94664,                0.52963,                 0.3465,                0.91513,                0.88195,               0.008482,               0.008482,               0.008482
                     48,                0.61308,                0.40936,                0.98333,                0.93823,                0.99073,                0.99812,                  0.995,                0.88113,                0.99073,                0.99812,                  0.995,                0.94664,                0.52963,                 0.3465,                0.91513,                0.88195,               0.008449,               0.008449,               0.008449
